File Size,Time
2481.0576171875,9.974
2475.0458984375,10.148
2474.5419921875,10.736
2482.591796875,10.039
2492.2587890625,9.95
2484.8193359375,10.192
2495.4619140625,10.035
2491.751953125,10.076
2491.5693359375,10.218
2511.1318359375,10.057
2501.28125,9.989
2513.384765625,10.142
2503.0595703125,10.01
2504.380859375,10.168
2510.6982421875,10.036
2509.1240234375,10.091
2511.4375,10.04
2534.359375,10.214
2520.16796875,10.151
2535.185546875,10.397
2542.302734375,10.117
2540.3408203125,10.354
2543.0380859375,10.183
2559.2939453125,10.301
2551.576171875,10.162
2554.8876953125,10.655
2551.7265625,10.376
2558.2744140625,10.277
2551.080078125,10.445
2569.0380859375,10.502
2553.517578125,10.263
2578.2060546875,10.423
2569.9521484375,10.341
2577.5302734375,10.607
2576.0302734375,10.442
2569.3251953125,10.274
2584.1064453125,10.555
2587.6787109375,10.398
2584.2294921875,10.458
2605.6279296875,10.431
2610.2021484375,10.744
2598.4775390625,10.466
2599.3564453125,10.628
2605.6611328125,10.449
2615.748046875,10.52
2601.7265625,10.468
2618.888671875,10.554
2617.294921875,10.671
2618.876953125,10.567
2610.158203125,10.528
2632.6630859375,10.804
2631.1640625,10.825
2637.7216796875,10.57
2631.150390625,10.477
2640.9541015625,10.747
2643.09375,10.734
2647.884765625,10.622
2645.45703125,10.733
2642.9873046875,10.85
2651.865234375,10.78
2667.076171875,10.568
2672.9130859375,10.821
2670.892578125,10.583
2663.2861328125,10.879
2668.3984375,10.891
2678.392578125,10.693
2681.7509765625,10.805
2678.46875,10.82
2685.4677734375,10.967
2681.2802734375,10.934
2685.63671875,10.896
2689.126953125,10.925
2684.3525390625,10.985
2698.955078125,11.051
2697.359375,10.786
2715.7470703125,10.89
2700.1123046875,10.893
2706.919921875,11.099
2712.8466796875,10.84
2715.2783203125,10.879
2721.6982421875,11.047
2724.763671875,11.145
2722.87890625,11.084
2737.9306640625,11.136
2735.818359375,10.993
2740.24609375,11.579
2756.9921875,11.14
2749.259765625,10.953
2753.3681640625,10.99
2753.912109375,11.126
2748.904296875,11.236
2738.609375,11.174
2750.2998046875,10.967
2763.5869140625,11.198
2762.9765625,11.477
2765.439453125,11.251
2773.697265625,11.224
2771.7822265625,11.187
2772.8486328125,11.192
2781.2314453125,11.192
2781.2880859375,11.284
2785.810546875,11.242
2787.7470703125,11.292
2792.6259765625,11.223
2796.2412109375,11.427
2804.3427734375,11.286
2779.98828125,11.221
2794.611328125,11.555
2802.3994140625,11.44
2799.224609375,11.509
2810.8701171875,11.532
2809.69140625,11.4
2820.1923828125,11.487
2821.5234375,11.413
2825.3349609375,11.542
2826.7822265625,11.358
2837.90234375,11.546
2844.7353515625,11.505
2847.5869140625,11.552
2837.6171875,11.314
2839.568359375,11.427
2844.6357421875,11.393
2840.154296875,11.621
2854.55078125,11.493
2866.4873046875,11.478
2868.125,11.437
2867.2099609375,11.476
2868.62109375,11.619
2868.3955078125,11.585
2864.1171875,11.696
2864.8525390625,11.603
2879.19140625,11.659
2875.61328125,11.658
2891.5126953125,11.552
2892.2470703125,11.596
2892.859375,11.739
2898.072265625,11.877
2900.283203125,11.628
2912.701171875,11.892
2900.271484375,11.777
2900.1416015625,11.616
2898.951171875,11.818
2907.794921875,11.743
2923.4345703125,11.767
2927.66015625,11.831
2921.6025390625,11.759
2920.7646484375,11.941
2939.1728515625,11.961
2925.0537109375,11.791
2931.306640625,11.793
2944.1953125,11.886
2939.5908203125,12.089
2939.396484375,12.06
2928.01953125,11.892
2955.408203125,12.237
2954.068359375,12.067
2970.2421875,12.121
2960.396484375,11.991
2953.982421875,12.061
2963.572265625,12.343
2978.6611328125,12.303
2981.576171875,13.162
2982.87109375,12.942
2973.5517578125,12.243
2975.9140625,12.311
2989.87109375,12.317
2994.490234375,12.181
3000.216796875,12.298
3005.9189453125,12.206
2996.4140625,12.209
3006.673828125,12.633
2999.5302734375,12.23
3013.4072265625,12.352
3009.3837890625,12.995
3002.3447265625,12.144
2998.482421875,14.791
3025.3046875,13.539
3009.6171875,12.498
3022.84765625,12.427
3018.904296875,12.574
3039.232421875,12.443
3041.908203125,12.415
3028.7822265625,12.268
3048.35546875,12.419
3050.572265625,12.41
3051.666015625,12.334
3059.1767578125,12.16
3041.064453125,12.317
3056.005859375,12.268
3064.5947265625,12.192
3060.9375,12.257
3056.8310546875,12.259
3068.3603515625,12.404
3064.0673828125,12.268
3076.8544921875,12.278
3074.7900390625,12.431
3081.859375,12.504
3082.33984375,12.445
3089.744140625,12.555
